Artist	Image	English Caption	Korean Caption
Albrecht Dürer	Albrecht_Dürer_1.jpg	a drawing of a man with a beard	수염이 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_2.jpg	a drawing of a woman with a child and birds	아이와 새를 둔 여성의 그림
Albrecht Dürer	Albrecht_Dürer_3.jpg	a drawing of a religious scene with an angel	천사와 함께 하는 종교적 장면을 그린 그림
Albrecht Dürer	Albrecht_Dürer_4.jpg	a black and white drawing of a priest and a group of people	사제와 사람들 모임을 그린 흑백 그림
Albrecht Dürer	Albrecht_Dürer_5.jpg	a drawing of a group of people praying in a church	교회에서 기도하는 사람들 무리의 그림
Albrecht Dürer	Albrecht_Dürer_6.jpg	a drawing of the crucifixion of jesus on a cross	십자가에 있는 십자가의 십자가를 그린 그림
Albrecht Dürer	Albrecht_Dürer_7.jpg	an illustration of people praying in a church	교회에서 기도하는 사람들의 모습
Albrecht Dürer	Albrecht_Dürer_8.jpg	a drawing of two women standing next to a tree	나무 옆에 서 있는 두 여자의 그림
Albrecht Dürer	Albrecht_Dürer_9.jpg	a drawing of an angel and a skull	천사와 두개골 그림
Albrecht Dürer	Albrecht_Dürer_10.jpg	a portrait of a woman with her hair in a bun	그녀의 머리카락을 동그랗게 한 여자의 초상화
Albrecht Dürer	Albrecht_Dürer_11.jpg	a drawing of a group of people sitting around a table	테이블 주위에 앉아 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_12.jpg	a sketch of a group of people standing around a table	테이블 주위에 서 있는 사람들의 그룹 스케치
Albrecht Dürer	Albrecht_Dürer_13.jpg	a drawing of people standing around a tree	나무 주위에 서 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_14.jpg	a drawing of an open book on a table	탁자 위에 펼쳐진 책 그림
Albrecht Dürer	Albrecht_Dürer_15.jpg	a portrait of a man wearing a hat	모자를 쓴 남자의 초상화
Albrecht Dürer	Albrecht_Dürer_16.jpg	a drawing of a man sleeping next to a lion	사자 옆에서 잠든 남자의 그림
Albrecht Dürer	Albrecht_Dürer_17.jpg	a black and white illustration of a hand holding an apple	사과를 손에 쥐고 있는 검은색과 흰색 반점
Albrecht Dürer	Albrecht_Dürer_18.jpg	a drawing of a baby with its head	머리를 가진 아기의 그림
Albrecht Dürer	Albrecht_Dürer_19.jpg	a drawing of a man wearing a hat with a city in the background	배경에 도시가 있는 모자를 쓴 남자의 그림
Albrecht Dürer	Albrecht_Dürer_20.jpg	a pencil drawing of a woman in a coat	코트를 입은 여자의 연필 그림
